Reviewer,Comment,Addressed,Response
1,"the amino acid mutations of Polymerase Basic 2 (PB2) protein are not the primary cause for the promiscuity of host range, and the authors' claims are misleading the reader.",Completed,"In the manuscript, we have been careful to separate the roles of HA and PB2. As stated in the Introduction and Discussion, we attribute the ""promiscuity of host range"" Sensu (Müller et al., 2012) 

Müller, M. A., Raj, V. S., Muth, D., Meyer, B., Kallies, S., Smits, S. L., Wollny, R., Bestebroer, T. M., Specht, S., Suliman, T., Zimmermann, K., Binger, T., Eckerle, I., Tschapka, M., Zaki, A. M., Osterhaus, A. D. M. E., Fouchier, R. A. M., Haagmans, B. L., & Drosten, C. (2012). Human coronavirus EMC does not require the SARS-coronavirus receptor and maintains broad replicative capability in mammalian cell lines. mBio, 3(6), e00515-12. https://doi.org/10.1128/mbio.00515-12

First the ability to bind both avian and mammalian sialic acid receptors is related to the structural adaptations of the HA protein.  Next PB2 in the context of host adaptation refers  to its role in overcoming the intracellular replication bottleneck. Once HA facilitates entry into a mammalian cell, the virus relies on PB2 adaptations to successfully replicate and evade the host's innate immune response (MAVS).

Therefore, we maintain that our claims accurately reflects the concept of promiscuity introduced by Muller et al. 2012.  HA drives entry promiscuity, while PB2 drives intracellular survival. We have reviewed our text to ensure this distinction remains clear and prominent, specifically in the discussion of our docking results.",,
1,"The potential of an acid long peptide at the furin cleavage site to penetrate various cells and lung tissue through a sialic acid-independent endocytotic pathway has been reported (Sci. Rep. 2020, 10, 18008). Indeed, neuropilin-1 (NRP1) is another host factor related to the multiple basic amino acid sequences at the furin cleavage site (Science 2020, 370, 856- 860 and Science 2020, 370, 861- 865). The authors do not discuss this important cause for the promiscuity of host range at all.",Completed,"We thank the reviewer for highlighting the importance of the multibasic cleavage site (MBCS) and alternative entry factors like NRP1. We agree that the MBCS is a critical determinant of high pathogenicity and systemic spread, as it allows for furin-mediated viral activation across diverse host tissues (https://doi.org/10.3389/fcimb.2025.1625665). However, we respectfully clarify the distinction between pathogenicity (disease severity) and host range (interspecies attachment). While the MBCS facilitates systemic infection once the virus has entered a host, the primary bottleneck for the zoonotic jump remains the Hemagglutinin’s structural affinity for a2,6-linked (mammalian) vs. a2,3-linked (avian) sialic acids (Long et al., 2019). Furthermore, while the reviewer cites studies suggesting NRP1 facilitates SARS-CoV-2 entry (Science 2020, 370, 856–865), this mechanism has not been established as a primary driver of host-range expansion for H5N1. Even the reviewer’s citation (Sci. Rep. 2020, 10, 18008) acknowledges that sialic acid remains the ""predominant pathway"" and that the role of proteoglycans in H5N1 entry remains ""uncertain.""",,
1,It is well known that PB2 protein has been the target for antivirals for decades. This manuscript does not describe the magnitude of PB2 contribution against the promiscuity of host range and any remarkable discovery.,Completed,"In several places (e.g. introduction, methods, results, discussion), we describe magnitude of PB2's contribution in this specific panzootic lies in its targeted immune evasion. Our structural workflow revealed that circulating clade 2.3.4.4b isolates have evolved positively selected mutations that significantly strengthen the binding affinity between PB2 and the mammalian mitochondrial antiviral signaling (MAVS) protein. This provides a clear, structurally modeled mechanism for how these specific viral lineages are silencing the mammalian innate immune response.

We also discuss PB2 not as a matter of fact as antiviral target but investigate the possibility of natural selection on PB2 as a factor for drug resistance.",,
1,This referee cannot be convinced of the accuracy of the protein-protein docking simulations. The authors do not indicate any evidence for the accuracy at all.,Completed,Addressed in response to Reviewer 3.,,
2,"Please provide the full name of the CDC (Centers for Disease Control and Prevention) at its first mention, rather than using only the abbreviation.",Completed,"Full name of CDC was provided in first appearance of name. In Discussion, subsection ""Antiviral Interactions.""",,
2,"Docking parameters (restraints, number of runs, clustering thresholds) are not fully specified.",Completed,Supplied link to GitHub repository containing default HADDOCK3 parameters used.,,
2,"Please recheck all abbreviations and their definitions throughout the manuscript and ensure consistency. Each abbreviation should be defined at its first occurrence. For example, in the Introduction section, the abbreviation ""NA"" is used without definition, whereas it is defined later in the Antiviral Docking Analysis section. Abbreviations should be defined at their first mention.",Completed,Abbreviations for every protein was explained in Introduction.,,
2,"The manuscript states that HyPhy was used for selection analysis, but subsequently lists Nielsen & Yang codon models (M0-M8). It is not clearly explained whether these models were implemented within HyPhy or how they relate to the HyPhy framework. This section should be revised to clarify the methodology and the relationship between the models used.",Completed,"We clarify that the selection analyses were performed using the HyPhy framework, specifically configured to implement the Nielsen & Yang (1998) site-class models. To ensure methodological consistency with the classic codeml (PAML) framework, we utilized HyPhy’s Positive Selection discrete site-class module. This implementation replicates the statistical behavior of models M0 through M8 using a maximum likelihood approach. By using HyPhy as the inference engine, we maintained the standard Nielsen & Yang theoretical framework while benefiting from HyPhy's efficient numerical optimization.",,
2,"In the ""Host Protein Interactions"" section, the sentence ""We compared our mutations of interest from ?? with their mutations of interest with adjustments for numbering conventions"" is unclear. Please clarify what ""??"" refers to and explicitly state the source or dataset being compared.",Completed,"""??"" occured due to a LaTex formating error. Reference link has been corrected.",,
2,Increase quality of Fig 3 please,Completed,,,
3,I strongly encourage the authors to consider adding a retrospective validation component using published evidence and/or prior experimental datasets.,Completed,Addressed in response below.,,
3,"the authors could select a set of historical H5N1 (and/or closely related influenza A) variants for which downstream phenotypic outcomes have been reported (e.g., receptor-binding changes, antigenic drift/escape patterns, or established resistance mutations) and test whether the proposed pipeline would have correctly anticipated those functional shifts based solely on sequence data available at the time.",Completed,"To address this, we successfully ran our docking pipeline on two well-documented historical benchmarks of influenza A evolution to act as positive controls, utilizing van der Waals (vdW) energy as our primary metric for structural affinity:

    Antiviral Resistance (NA H274Y): We docked oseltamivir against historical wild-type NA (PDB: 2HU4) and the H274Y mutant (PDB: 3CL0). Our pipeline successfully detected the resistance profile, showing a reduction in binding affinity from a vdW of -31.09 in the wild-type to -29.91 in the mutant.

    Host Receptor Adaptation (HA Q226L): We docking the wild-type (9NR2) and adapted (9NR5) HA proteins, our pipeline recorded a significant increase in vdW stability for the mammalian receptor (shifting from −19.87 to −24.28) while simultaneously maintaining avian affinity. This correctly models the increased host-range breadth (promiscuity) characteristic of modern H5N1 clades.

These validation metrics confirm that our pipeline is highly sensitive to the functional shifts caused by sequence-level variations. We have added these findings to a new ""Structural Pipeline Validation"" section in the manuscript to provide readers with full confidence in our workflow's predictive capabilities.",,
