Metastates,Degree Centrality,Indegree Centrality,Outdegree Centrality,Betweenness Centrality,Closeness Centrality,Source Hub Ratio
Accipitriformes,1,1,0,0,0.0454545454545455,0
Anseriformes,8,2,6,15.5,0.0714285714285714,0.75
Artiodactyla,9,2,7,16.8333333333333,0.0769230769230769,0.777777777777778
Aves,2,1,1,0,0.0476190476190476,0.5
Carnivora,4,2,2,0.333333333333333,0.0625,0.5
Falconiformes,1,1,0,0,0.0434782608695652,0
Galliformes,8,5,3,26.3333333333333,0.0666666666666667,0.375
Gaviiformes,1,1,0,0,0.0434782608695652,0
Passeriformes,1,1,0,0,0.0454545454545455,0
Primates,4,3,1,0,0.0526315789473684,0.25
Rodentia,1,1,0,0,0.0454545454545455,0
