job,model,score,bsa,desolv,elec,total,vdw
OQ958043_pocket1__baloxavir,../05_flexref/flexref_10.pdb,-70.603,565.766,-2.822,-35.093,-62.123,-27.030
OQ958043_pocket2__baloxavir,../05_flexref/flexref_3.pdb,-545.839,458.666,-6.421,-654.092,-534.832,119.260
OQ958043_pocket3__baloxavir,../05_flexref/flexref_7.pdb,-75.893,637.471,-13.732,-20.724,-55.786,-35.062
OQ958043_pocket4__baloxavir,../05_flexref/flexref_1.pdb,-61.977,568.447,-9.172,-25.739,-47.120,-21.381
OQ958043_pocket5__baloxavir,../05_flexref/flexref_6.pdb,-55.702,538.549,0.984,-29.327,-51.300,-21.973
OQ958043_pocket6__baloxavir,../05_flexref/flexref_10.pdb,-58.507,593.007,-8.776,-7.845,-43.801,-35.956
OQ958043_pocket7__baloxavir,../05_flexref/flexref_3.pdb,-45.459,587.988,-8.252,-2.930,-31.327,-28.398
OQ958043_pocket8__baloxavir,../05_flexref/flexref_3.pdb,-575.816,298.602,-1.221,-655.118,-571.609,83.509
PQ809560_pocket1__baloxavir,../05_flexref/flexref_9.pdb,-54.632,514.868,-6.579,-4.280,-42.905,-38.624
PQ809560_pocket2__baloxavir,../05_flexref/flexref_5.pdb,-517.670,575.063,-0.148,-652.733,-511.770,140.962
PQ809560_pocket3__baloxavir,../05_flexref/flexref_1.pdb,-72.721,684.656,-14.681,-12.900,-51.194,-38.294
PQ809560_pocket4__baloxavir,../05_flexref/flexref_8.pdb,-54.217,443.074,1.565,-29.015,-51.352,-22.336
PQ809560_pocket5__baloxavir,../05_flexref/flexref_2.pdb,-47.051,511.983,-4.819,-10.473,-37.112,-26.639
PQ809560_pocket6__baloxavir,../05_flexref/flexref_5.pdb,-56.334,411.102,-6.099,-15.172,-46.124,-30.952
PQ809560_pocket7__baloxavir,../05_flexref/flexref_5.pdb,-52.007,461.924,1.927,-24.017,-49.315,-25.298
PQ809560_pocket8__baloxavir,../05_flexref/flexref_2.pdb,-49.170,636.169,-2.003,-16.557,-40.805,-24.248
PQ809560_pocket9__baloxavir,../05_flexref/flexref_7.pdb,-43.502,347.461,1.701,-19.426,-41.728,-22.302
PQ809560_pocket10__baloxavir,../05_flexref/flexref_1.pdb,-32.530,166.846,-3.260,-8.777,-27.600,-18.824
PQ591826_pocket1__baloxavir,../05_flexref/flexref_7.pdb,-61.104,523.060,-8.067,-18.785,-47.807,-29.022
PQ591826_pocket2__baloxavir,../05_flexref/flexref_10.pdb,-78.220,645.061,-13.465,-19.942,-58.304,-38.363
PQ591826_pocket3__baloxavir,../05_flexref/flexref_7.pdb,-440.887,661.117,-1.992,-639.746,-432.284,207.462
PQ591826_pocket4__baloxavir,../05_flexref/flexref_5.pdb,-56.000,527.648,-6.546,-17.594,-44.178,-26.584
PQ591826_pocket5__baloxavir,../05_flexref/flexref_1.pdb,-56.122,546.711,-13.293,-11.442,-37.362,-25.920
PQ591826_pocket6__baloxavir,../05_flexref/flexref_8.pdb,-53.596,561.290,-7.452,-4.676,-40.531,-35.855
PQ591826_pocket7__baloxavir,../05_flexref/flexref_8.pdb,-52.791,604.607,0.171,-19.685,-46.916,-27.230
PQ591826_pocket8__baloxavir,../05_flexref/flexref_10.pdb,-64.470,535.730,-3.997,-25.491,-55.116,-29.626
