Accession,Organism,Strain,Isolation_Source,Host,Country,Collection_Year
PV091374.1,Influenza A virus,A/Bovine/California/T2402448/2024,placenta,bovine,,2024
PQ435223.1,Influenza A virus,A/California/135/2024,,Homo sapiens,,2024
PV576485.1,Influenza A virus,A/feline/San Bernardino County/297271-24/2024,urine,feline,,2024
PQ615333.1,Influenza A virus,A/California/174/2024,,Homo sapiens,,2024
PQ615339.1,Influenza A virus,A/California/173/2024,,Homo sapiens,,2024
PQ615349.1,Influenza A virus,A/California/151/2024,,Homo sapiens,,2024
PQ373682.1,Influenza A virus,A/cattle/Michigan/Broad_ME_013/2024,retail milk,cattle,,2024
PP914089.1,Influenza A virus,A/cattle/Texas/USL_042/2024,nasal swab,cattle,,2024
PP599468.1,Influenza A virus,A/Bovine/texas/24-029328-01/2024,milk,bovine,,2024
PP577944.1,Influenza A virus,A/Texas/37/2024,,Homo sapiens,,2024
PQ373714.1,Influenza A virus,A/cattle/Idaho/Broad_ME_023/2024,retail milk,cattle,,2024
PQ373642.1,Influenza A virus,A/cattle/Texas/Broad_MD_035/2024,retail milk,cattle,,2024
PQ686605.1,Influenza A virus,A/California/193/2024,,Homo sapiens,,2024
PQ373730.2,Influenza A virus,A/cattle/Idaho/Broad_MF_006/2024,retail milk,cattle,,2024
PQ373690.1,Influenza A virus,A/cattle/Idaho/Broad_ME_015/2024,retail milk,cattle,,2024
PQ373666.1,Influenza A virus,A/cattle/Colorado/Broad_ME_001/2024,retail milk,cattle,,2024
PQ373658.1,Influenza A virus,A/cattle/Colorado/Broad_MD_050/2024,retail milk,cattle,,2024
PQ373618.1,Influenza A virus,A/cattle/Colorado/Broad_MC_023/2024,retail milk,cattle,,2024
PQ162283.1,Influenza A virus,A/dairy cow/Texas/A240750066-18/2024,mammary LF,dairy cow,,2024
PQ106522.1,Influenza A virus,A/Colorado/138/2024,,Homo sapiens,,2024
PQ106513.1,Influenza A virus,A/Colorado/137/2024,,Homo sapiens,,2024
PQ032836.1,Influenza A virus,A/Colorado/109/2024,,Homo sapiens,,2024
PP600146.1,Influenza A virus,A/cattle/Texas/56283/2024,nasal swab,bovine,,2024
PP836482.1,Influenza A virus,A/bovine/Ohio/B24OSU-446/2024,clinical cow milk,bovine,,2024
PP836410.1,Influenza A virus,A/bovine/Ohio/B24OSU-332/2024,clinical cow milk,bovine,,2024
PP732379.1,Influenza A virus,A/Dairy cattle/Kansas/5/2024,environmental swabs,Dairy cattle,,2024
PQ373754.2,Influenza A virus,A/cattle/Colorado/Broad_MF_014/2024,retail milk,cattle,,2024
PQ373634.1,Influenza A virus,A/cattle/Texas/Broad_MD_034/2024,retail milk,cattle,,2024
PQ773290.1,Influenza A virus,A/California/196/2024,,Homo sapiens,,2024
PQ327628.1,Influenza A virus,A/Missouri/121/2024,,Homo sapiens,,2024
PP836490.1,Influenza A virus,A/bovine/Ohio/B24OSU-467/2024,clinical cow milk,bovine,,2024
OR801088.1,Influenza A virus,A/Aves/Veracruz/CPA-18079-23/2023,"nasal swab, traquea swab, lung, spleen pool",Aves,,2023
PQ373746.2,Influenza A virus,A/cattle/Colorado/Broad_MF_013/2024,retail milk,cattle,,2024
PP796044.1,Influenza A virus,A/environment/USA/CO-UW-9084466/2024,commercial milk,,,2024
OR801096.1,Influenza A virus,A/Gallus gallus domesticus/Sonora/CPA-18486-23/2023,"nasal swab, traquea swab, lung, spleen pool",Gallus gallus,,2023
PV601994.1,Influenza A virus,A/bovine/Kansas/Inoc-TX-24-029328-01/2024,passaged in bovine uterine epithelial cells for 3 passages and subsequently passed on MDCK cells for 1 passage,bovine,,2024
PV601930.1,Influenza A virus,A/swine/Kansas/ExpPig50-BAL3DPI/2024,bronchoalveolar lavage,swine,,2024
PP761561.1,Influenza A virus,A/red-tailed hawk/South Carolina/W24-43/2024,Combined cloacal and oral-pharyngeal,Buteo jamaicensis,,2024
PV602018.1,Influenza A virus,A/swine/Kansas/ExpPig61-NS5DPI/2024,nasal swab,swine,,2024
PV602010.1,Influenza A virus,A/swine/Kansas/ExpPig61-NS4DPI/2024,nasal swab,swine,,2024
OQ547394.1,Influenza A virus,A/Gallus gallus/Peru/AIS0548/2022,tracheal swab,Gallus gallus,,2022
OQ455461.1,Influenza A virus,A/Pelican/CHL/227087-1/2022,Cloacal,Pelecanus thagus,,2022
PQ482084.1,Influenza A virus,A/cattle/CA/24-025746-001-original/2024,milk,cattle,,2024
PQ338021.1,Influenza A virus,A/slender-billed parakeet/Araucania /242881-1/2023,,Enicognathus leptorhynchus,,2023
OR910195.1,Influenza A virus,A/turkey/Valparaiso/245562-2/2023,Tracheal swab,Meleagris gallopavo,,2023
OQ547315.1,Influenza A virus,A/Gallus gallus/Peru/AIS0545/2022,trachea,Gallus gallus,,2022
OQ733030.1,Influenza A virus,A/blue-winged teal/Texas/UGAI22-3189/2022,Combined cloacal and oral-pharyngeal,Spatula discors,,2022
OQ455399.1,Influenza A virus,A/Pelican/CHL/226955-1/2022,tracheal swab,Pelecanus thagus,,2022
OQ352551.1,Influenza A virus,A/black skimmer/Chile/C61962/2022,feces,Rynchops niger,,2022
OQ352543.1,Influenza A virus,A/Peruvian pelican/Chile/C61740/2022,feces,Pelecanus thagus,,2022
PP577008.1,Influenza A virus,A/snow goose/Kansas/W23-949C/2023,Oral-pharyngeal,Anser caerulescens,,2023
PP576922.1,Influenza A virus,A/Ross's goose/Kansas/W23-930F/2023,Heart tissue,Anser rossii,,2023
PV709432.1,Influenza A virus,A/cattle/CA/25-006243-001-original/2025,"Milk, Bulk Tank",cattle,,2025
PV709408.1,Influenza A virus,A/cattle/CA/24-039016-002-original/2024,"Milk, Bulk Tank",cattle,,2024
PV649406.1,Influenza A virus,A/cattle/CA/25-006274-002-original/2025,"Milk, Bulk Tank",cattle,,2025
PV649102.1,Influenza A virus,A/cattle/CA/24-030030-001-original/2024,milk,cattle,,2024
PV625276.1,Influenza A virus,A/cattle/CA/25-010012-003-original/2025,milk,cattle,,2025
PV616152.1,Influenza A virus,A/cattle/CA/25-007549-077-original/2024,"Milk, Bulk Tank",cattle,,2024
PV615808.1,Influenza A virus,A/cattle/CA/24-034654-001-original/2024,milk,cattle,,2024
PV615744.1,Influenza A virus,A/cattle/CA/24-032306-001-original/2024,"Milk, Bulk Tank",cattle,,2024
